Category,Feature,XGBoost,TabNet,XGBoost_log,TabNet_log
Category_0,Feature_0,1.0,0.9,0.0167784512388178,0.1450003717276722
Category_1,Feature_1,0.977,0.88,0.0195094470681544,0.3486266430791357
Category_1,Feature_2,0.955,0.859,0.0237243390867986,0.2108377445044034
Category_1,Feature_3,0.932,0.839,0.0226485737460984,0.1211294302271565
Category_2,Feature_4,0.91,0.819,0.0260292798281633,0.075279999347161
Category_2,Feature_5,0.888,0.798,0.024415501027777,0.0666852777058932
Category_2,Feature_6,0.865,0.778,0.0456328039971977,0.0593098755632832
Category_2,Feature_7,0.842,0.758,0.0262065879023801,0.1098458415274602
Category_2,Feature_8,0.82,0.737,0.0432567880034721,0.152977706448596
Category_3,Feature_9,0.798,0.717,0.0188148847371105,0.0445746245882044
Category_3,Feature_10,0.775,0.697,0.0404247956472258,0.0658251930201707
Category_3,Feature_11,0.752,0.676,0.0197398802295844,0.1589889564675075
Category_3,Feature_12,0.73,0.656,0.038675372174224,0.1096675271533707
Category_3,Feature_13,0.708,0.636,0.0315819969206749,0.9340159086458816
Category_3,Feature_14,0.685,0.615,0.0272970230453273,0.0750249087816705
Category_3,Feature_15,0.662,0.595,0.0302653486953076,0.4322511377273745
Category_3,Feature_16,0.64,0.575,0.0280985132373937,0.4345843315484553
Category_3,Feature_17,0.617,0.554,0.0184291354683671,0.1672772905201161
Category_3,Feature_18,0.595,0.534,0.0169151291496678,0.1268106086662312
Category_4,Feature_19,0.572,0.514,0.059371130642173,1.697385967270702
Category_4,Feature_20,0.55,0.493,0.0371165779356709,1.2227925958560597
Category_4,Feature_21,0.528,0.473,0.0246379769515307,0.5161748908912068
Category_5,Feature_22,0.505,0.452,0.0194211820061546,0.7439995027335392
Category_5,Feature_23,0.482,0.432,0.0131363392430438,0.1930603556024401
Category_5,Feature_24,0.46,0.412,0.0140133527183514,0.2604824950494727
Category_5,Feature_25,0.438,0.391,0.01633288922087,0.0278806959793768
Category_5,Feature_26,0.415,0.371,0.0140863203000705,0.087605117357594
Category_5,Feature_27,0.392,0.351,0.013757924245564,0.0501796745430832
Category_5,Feature_28,0.37,0.33,0.0151929996608131,0.1481906684778085
Category_5,Feature_29,0.348,0.31,0.0142973047008244,0.0382144377972473
Category_5,Feature_30,0.325,0.29,0.0165463509862028,0.7218342437240651
Category_6,Feature_31,0.302,0.269,0.0121755759301334,0.019326043159764
Category_6,Feature_32,0.28,0.249,0.0173928634008963,0.1751626595954751
Category_6,Feature_33,0.258,0.229,0.014203648895698,0.3918826156015529
Category_6,Feature_34,0.235,0.208,0.012930045506683,0.2249642927580591
Category_6,Feature_35,0.212,0.188,0.0135231486524664,0.1738381744455054
Category_6,Feature_36,0.19,0.168,0.0170960265783699,0.0493128846701207
Category_6,Feature_37,0.168,0.147,0.0180982344670971,0.6737793287352112
Category_6,Feature_38,0.145,0.127,0.0161154458327766,0.0253528823691764
Category_6,Feature_39,0.122,0.107,0.0116469106493993,0.204308072179436
Category_6,Feature_40,0.1,0.086,0.0169878853103769,0.1939594068796633
Category_6,Feature_41,0.078,0.066,0.0131264696986811,0.152293527816095
Category_6,Feature_42,0.055,0.046,0.0183211382761892,0.3751454097919429
Category_6,Feature_43,0.032,0.025,0.0140873063120121,0.5267962122888685
Category_6,Feature_44,0.01,0.005,0.0145713207827487,0.515193869075105
